34 47 64.5 121.2 244.5
388 297.8 194.6 195.1 230.3
212.7 132.6 59 16.7 104.8
207.5 144.1 523.8 296 271.9
NA 132.2 70.1 9.8 28.2
113.2 126.6 136 216.5 NA
NA NA NA NA NA
NA 158.1 43.9 19.7 331.4
204.4 501.8 371.7 238.4 202.9
297.2 200.8 58.5 26 39.7
31.3 145.5 125.2 177.3 125.6
235.9 91.8 27.2 62.1 103.1
45.6 49.5 99.1 78.7 296.6
439.6 153.7 322.6 217.4 42
123.8 33.5 64.2 140.6 65.1
173.7 138.6 676.9 236.1 218
237.1 124.7 78.3 110.3 164.3
49 93 113.8 378.6 384.4
507 162 73.1 57.4 114.4
12.4 47.1 63.7 204.5 149.6
347 259.5 190.4 243 243.9
419.7 200.2 126.5 79.1 51.9
70.2 59.8 113.4 614.7 251.9
190.9 271.7 164.1 175.2 146.3
49 47.5 79.7 282.1 32.2
437.2 290.4 165.7 178.1 236.9
147.5 55.7 77.6 0.4 116
74 570.1 498.6 235.2 297.6
100 69.3 256.8 98.4 157
64.7 97.8 225.3 253.8 551.8
348.3 238.4 180.2 185.1 63.3
134.7 25.6 86.6 55.4 252.9
168 300.1 341.6 217.3 90.2
136.9 54.3 89.1 38.5 44.1
39.6 134.5 421.7 217.5 379.9
546.5 78.8 57 90.1 27.4
17.8 94.2 39.8 126.2 374.9
233.9 128.8 413.2 104.3 212.2
130.4 98.4 39 89.6 108.6
30.8 119.4 352.1 245.3 274
77.2 106.3 93.3 64.8 101.2
45.7 111 166.4 187.8 256.4
133.5 297.4 232.1 75.6 93.3
22 64.8 163.4 52 78.7
282.4 396.1 144 162.4 94.5
80.8 77.8 268.9 26.8 65.5
