NA 3 2 2.9 1.5
1.2 0.4 0.2 3.5 3.7
5.1 6.2 7.8 5.8 3.4
3.8 0.4 1.4 1.8 2.2
3.2 4.4 6.4 8.8 8.4
7.6 5.4 2.7 1.7 1
1.6 2.2 NA 4.4 7.1
7.6 6 7.8 5 3.2
1.2 0.4 0.6 2.2 3.4
6 5.2 8.8 9.4 8.2
4.3 NA 1.8 3 2
1.6 5 4.6 7.6 3.2
8 6.4 4.2 3 -1
0.8 1.2 1.2 3.8 3.4
5.3 7.4 8.4 5.2 4.1
4 4 1.2 1.8 0.8
4 4 5.6 6.8 7.2
7.2 5 3 0.8 -1.6
0.4 2.8 3 3.4 4.8
6.4 10 7.4 3.4 1.3
2.8 1.4 1.6 1.5 3.4
6.2 5.2 6.2 6.8 6.4
6.2 2.3 2.8 0.4 1
0.9 2.2 1.6 4.8 8
7.6 7.4 5.4 2.6 1.24
-1.7 0.4 2.3 3.6 5
4.8 10.2 1.2 7.5 7
3 -0.4 0.8 0.2 1.8
2.6 4.4 6 7.2 7.8
6 4.8 -0.2 -2.08 -2
-2.4 0.8 1.2 2.8 4.8
4.2 4.8 4.2 1.4 -2.2
-2.4 -2.8 -3.8 -2.8 0.2
2.2 2.2 2.2 4.8 1
0 1 -1.8 -1.4 -2
-1 -0.8 1.8 2.4 1.6
6.8 4.2 1.2 NA NA
NA 1 NA NA NA
NA 6.2 NA 4.2 NA
